N_id,Title,Main Genre,Sub Genres,Release Year,Maturity Rating,Original Audio,Recommendations
215309,Ace Ventura: Pet Detective,Comedy,"Comedy, Mystery, US",1994,A,"Hindi, English [Original]","70184054, 60001650, 70112729, 70027007, 1152469, 81222715, 21303955, 70021643, 60004471, 70044593, 17236928, 215318"
215318,Ace Ventura: When Nature Calls,Comedy,"Comedy, Action & Adventure, US",1995,U/A 16+,"Hindi, English [Original]","70184054, 60001650, 70112729, 70027007, 1152469, 81222715, 21303955, 70021643, 215309, 60004471, 70044593, 17236928"
217258,The Addams Family,Comedy,"Comedy, US",1991,U/A 13+,"English [Original], Hindi, English - Audio Description","81156676, 81231974, 70027007, 80049939, 70217912, 80218885, 81686180, 217303, 70033005, 81450775, 70044595, 80991404"
217303,Addams Family Values,Comedy,"Comedy, US",1993,U/A 13+,"English [Original], Hindi, English - Audio Description","81156676, 70044593, 81231974, 70027007, 80050008, 81762779, 80049939, 217258, 70033005, 81450775, 70044595, 80991404"
235527,Agneepath,Drama,"Hindi-Language, Bollywood, Crime, Drama",1990,U/A 16+,Hindi [Original],"17517355, 80158546, 80158395, 80074065, 70204288, 60002088, 81244367, 81244365, 60002082, 24081514, 70115621, 24012660"
265929,Assassins,Action,"Crime, Action & Adventure, US",1995,A,"Hindi, English [Original]","70099114, 81728050, 70101697, 81728596, 70023960, 80223052, 70114342, 70062784, 80133493, 60001867, 80117445, 70278930"
268371,Awakenings,Drama,"Drama, Based on Books, US",1990,U/A 13+,"Hindi, English [Original]","60034545, 60022922, 81516046, 937499, 80066891, 5670418, 60000417, 80017272, 81696510, 60000165, 786137, 80149312"
318960,Blue Thunder,Action,"Crime, Action & Adventure, US",1983,A,"Hindi, English [Original]","81307099, 81698397, 70099114, 70219498, 70162962, 70307658, 81004276, 81767635, 80025919, 70028894, 60001867, 70103524"
374329,A Chinese Odyssey (Part I),Action,"Hong Kong, Comedy, Martial Arts, Based on Books, Action & Adventure, Chinese",1995,U/A 13+,Mandarin [Original],"7774426, 70026792, 80997793, 70144556, 81386963, 70027007, 81403965, 70043379, 80184682, 80214405, 70062784, 81067756"
538871,Geronimo: An American Legend,Drama,"Military, Drama, Westerns, Based on Real Life, US",1993,U/A 13+,"Hindi, English [Original]","877351, 80097141, 81127997, 81077494, 80200267, 547335, 81572104, 81210670, 80099656, 81457507, 966131, 80200571"
547335,Glory,Drama,"Military, Drama, Based on Books, Period Pieces, Based on Real Life, Social Issue Dramas, US",1989,U/A 16+,"English [Original], Hindi, English - Audio Description","81166791, 937499, 70266110, 21878564, 81260280, 60011152, 81590591, 81519223, 70012020, 538871, 80182016, 80189214"
557010,Grave of the Fireflies,Anime,"Japanese, Anime based on Books, Based on Books, Drama Anime, Anime Features",1988,U/A 13+,Japanese [Original],"80217130, 70106454, 60023642, 70045021, 81725555, 70262786, 28630857, 80036398, 80013552, 70293674, 70216227, 70028883"
609910,Hudson Hawk,Action,"Satires, Comedy, Action & Adventure, US",1991,U/A 16+,"Hindi, English [Original]","81307099, 877351, 81253859, 60031216, 60024924, 60003388, 80021752, 765912, 265929, 81161626, 70127226, 60001867"
